1, 7, 37
1, 6, 38
1, 5, 35
1, 7, 39
1, 6, 38
1, 2, 24
1, 2, 26
1, 2, 22
1, 6, 45
1, 3, 33
1, 4, 24
1, 2, 21
1, 0, 16
1, 5, 30
1, 4, 33
1, 5, 34
1, 1, 20
1, 7, 39
1, 0, 16
1, 2, 30
1, 5, 36
1, 3, 31
1, 4, 30
1, 4, 37
1, 1, 22
1, 4, 35
1, 1, 22
1, 3, 26
1, 2, 27
1, 7, 41
1, 4, 26
1, 0, 10
1, 0, 16
1, 0, 17
1, 3, 24
1, 0, 16
1, 0, 17
1, 4, 35
1, 1, 21
1, 3, 34
1, 2, 22
1, 7, 41
1, 4, 26
1, 1, 18
1, 3, 22
1, 2, 25
1, 3, 33
1, 1, 18
1, 1, 18
1, 1, 24
1, 9, 41
1, 3, 26
1, 7, 41
1, 8, 41
1, 5, 39
1, 3, 26
1, 0, 16
1, 2, 26
1, 3, 30
1, 3, 26
1, 4, 26
1, 0, 16
1, 4, 27
1, 7, 44
1, 3, 26
1, 3, 26
1, 3, 30
1, 4, 26
1, 4, 35
1, 6, 39
1, 3, 30
1, 2, 26
1, 4, 26
1, 3, 30
1, 3, 30
1, 2, 20
1, 0, 16
1, 4, 26
1, 0, 16
1, 5, 33
1, 2, 26
1, 2, 25
1, 5, 35
1, 4, 37
1, 3, 26
1, 5, 35
1, 3, 31
1, 3, 37
1, 5, 35
1, 7, 41
1, 2, 25
1, 5, 35
1, 5, 33
1, 4, 35
1, 9, 44
1, 6, 39
1, 3, 30
1, 4, 37
1, 3, 26
1, 1, 20
1, 3, 31
1, 6, 35
1, 4, 24
1, 1, 23
1, 3, 26
1, 0, 16
1, 3, 30
1, 4, 25
1, 4, 30
1, 3, 33
1, 1, 20
1, 2, 22
1, 3, 34
1, 1, 18
1, 2, 26
1, 2, 26
1, 0, 16
1, 3, 26
1, 3, 26
1, 1, 18
1, 4, 24
1, 6, 44
1, 5, 35
1, 2, 26
1, 2, 24
1, 1, 18
1, 7, 39
1, 5, 37
1, 2, 22
1, 3, 30
1, 6, 35
1, 1, 20
1, 3, 31
1, 1, 18
1, 3, 26
1, 9, 45
1, 3, 30
1, 0, 16
1, 0, 16
1, 4, 38
1, 5, 31
1, 0, 16
1, 0, 16
1, 1, 22
1, 6, 40
1, 0, 17
1, 1, 24
1, 7, 44
1, 3, 30
1, 2, 22
1, 5, 35
1, 3, 34
1, 0, 16
1, 3, 26
1, 4, 33
1, 2, 25
1, 0, 16
1, 0, 15
1, 9, 45
1, 3, 30
1, 5, 33
1, 4, 33
1, 2, 30
1, 3, 32
1, 2, 34
1, 5, 38
1, 0, 16
1, 4, 37
1, 4, 25
1, 7, 45
1, 2, 27
1, 4, 30
1, 4, 35
1, 5, 35
1, 2, 22
1, 0, 17
1, 9, 47
1, 4, 33
1, 4, 37
1, 2, 26
1, 2, 22
1, 5, 44
1, 3, 25
1, 6, 39
1, 9, 48
1, 2, 20
1, 3, 26
1, 0, 16
1, 4, 37
1, 6, 45
1, 4, 39
1, 3, 34
1, 3, 24
1, 0, 16
1, 4, 34
1, 4, 31
1, 7, 41
1, 4, 30
1, 4, 36
1, 2, 26
1, 2, 24
1, 3, 24
1, 3, 30
1, 2, 27
1, 3, 27
1, 3, 33
1, 3, 26
1, 2, 26
1, 4, 39
1, 3, 30
1, 1, 24
1, 7, 39
1, 2, 21
1, 5, 40
1, 3, 26
1, 2, 26
1, 5, 26
1, 3, 24
1, 3, 26
1, 1, 20
1, 4, 33
1, 3, 30
1, 4, 35
1, 5, 35
1, 2, 26
1, 3, 31
1, 3, 26
1, 1, 21
1, 3, 26
1, 5, 38
1, 6, 37
1, 1, 20
1, 7, 44
1, 1, 20
1, 1, 22
1, 5, 37
1, 2, 30
1, 0, 16
1, 6, 44
1, 3, 24
1, 4, 26
1, 4, 24
1, 2, 26
1, 2, 22
1, 3, 26
1, 4, 24
1, 0, 16
1, 3, 30
1, 3, 26
1, 5, 35
1, 1, 22
1, 5, 41
1, 3, 30
1, 2, 27
1, 3, 30
1, 4, 26
1, 3, 26
1, 0, 15
1, 2, 26
1, 4, 35
1, 9, 46
1, 0, 17
1, 5, 35
1, 3, 26
1, 1, 22
1, 4, 25
1, 3, 30
1, 4, 26
1, 0, 17
1, 3, 30
1, 1, 18
1, 8, 41
1, 4, 24
1, 3, 26
1, 7, 37
1, 7, 46
1, 1, 18
1, 0, 16
1, 3, 26
1, 1, 18
1, 1, 19
1, 4, 33
1, 4, 25
1, 7, 44
1, 6, 37
1, 7, 37
1, 3, 26
1, 3, 27
1, 1, 24
1, 5, 30
1, 6, 34
1, 1, 18
1, 3, 25
1, 5, 35
1, 1, 19
1, 3, 25
1, 3, 24
1, 2, 23
1, 3, 30
1, 6, 39
1, 5, 37
1, 5, 42
1, 2, 31
1, 1, 22
1, 3, 30
1, 6, 37
1, 4, 35
1, 0, 16
1, 3, 33
1, 2, 26
1, 3, 30
1, 2, 30
1, 4, 37
1, 3, 31
1, 3, 30
1, 0, 17
1, 6, 37
